Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,NVDA,AAPL,GOOG,MSFT,NVDA,AAPL,GOOG,MSFT,NVDA,AAPL,GOOG,MSFT,NVDA,AAPL,GOOG,MSFT,NVDA
Datetime,,,,,,,,,,,,,,,,,,,,
2025-11-24 14:30:00+00:00,273.0950012207031,316.8794860839844,472.4200134277344,178.0,275.9200134277344,318.54998779296875,476.17999267578125,180.8699951171875,270.8999938964844,309.40008544921875,468.0199890136719,176.47999572753906,270.8999938964844,310.7850036621094,475.0,179.5,7995693,10624903,5626447,43370401
2025-11-24 15:30:00+00:00,275.0,314.4800109863281,475.3299865722656,182.08999633789062,275.38958740234375,317.75,475.7200012207031,182.32000732421875,272.6499938964844,314.1499938964844,472.0,177.67999267578125,273.0799865722656,316.8699951171875,472.4599914550781,178.00860595703125,3612728,4421439,1866844,24840299
2025-11-24 16:30:00+00:00,274.8500061035156,315.1199951171875,475.80999755859375,182.47000122070312,275.2699890136719,315.17498779296875,476.8999938964844,183.1300048828125,274.44000244140625,311.8900146484375,474.6300048828125,181.61000061035156,274.9700012207031,314.5,475.375,182.05999755859375,2583089,2993905,2328420,17332798
2025-11-24 17:30:00+00:00,276.1199951171875,317.3699951171875,475.32000732421875,182.10000610351562,276.510009765625,318.1499938964844,476.3800048828125,183.3699951171875,274.75,314.8800048828125,474.8900146484375,181.8350067138672,274.8500061035156,315.1000061035156,475.8450927734375,182.46499633789062,3404232,2592523,1129854,12407053
2025-11-24 18:30:00+00:00,276.2195129394531,317.3411865234375,474.1199951171875,181.8699951171875,276.45001220703125,318.3799133300781,475.3999938964844,182.55999755859375,275.8500061035156,315.5400085449219,473.8699951171875,181.27999877929688,276.1199951171875,317.3500061035156,475.2799987792969,182.09500122070312,2440121,2330838,1120119,12475956
2025-11-24 19:30:00+00:00,276.4750061035156,318.0400085449219,474.29998779296875,181.6699981689453,276.6549987792969,319.0,475.04998779296875,182.47999572753906,275.3550109863281,316.69000244140625,473.8299865722656,181.08399963378906,276.2300109863281,317.40301513671875,474.1440124511719,181.87620544433594,2989562,2438476,1240769,13511330
2025-11-24 20:30:00+00:00,275.9800109863281,318.3699951171875,473.989990234375,182.5500030517578,276.9800109863281,319.79998779296875,476.510009765625,183.47999572753906,275.1099853515625,317.79998779296875,473.54998779296875,181.2100067138672,276.4700012207031,318.0400085449219,474.2799987792969,181.6699981689453,4904039,3159470,2385942,65119838
2025-11-25 14:30:00+00:00,278.9049987792969,327.32000732421875,468.3800048828125,171.0749969482422,280.3800048828125,328.6700134277344,474.5,175.0,275.2699890136719,319.79998779296875,464.8918151855469,169.5500030517578,275.29998779296875,326.875,474.3949890136719,174.91000366210938,9723608,13790107,4558757,79887076
2025-11-25 15:30:00+00:00,277.8299865722656,320.67999267578125,472.1499938964844,174.7238006591797,279.6300048828125,328.1000061035156,472.3599853515625,174.8800048828125,277.7799987792969,317.81640625,468.3370056152344,171.0281982421875,278.8900146484375,327.2900085449219,468.3800048828125,171.07000732421875,2840433,6785175,1948411,33770896
2025-11-25 16:30:00+00:00,279.0700988769531,321.4049987792969,475.989990234375,175.53500366210938,279.30999755859375,322.17999267578125,477.05999755859375,175.99000549316406,277.5,318.80999755859375,472.19000244140625,174.13009643554688,277.82000732421875,320.6300048828125,472.20001220703125,174.72000122070312,2504679,2856517,1822911,22733351
2025-11-25 17:30:00+00:00,278.760009765625,324.2300109863281,476.7449951171875,176.2050018310547,279.3699951171875,324.3299865722656,477.20989990234375,176.47999572753906,278.2300109863281,320.5299987792969,475.4200134277344,175.07020568847656,279.0899963378906,321.3699951171875,476.010009765625,175.52999877929688,1925113,2349042,1113246,16279741
2025-11-25 18:30:00+00:00,278.0350036621094,323.00799560546875,476.3800048828125,174.77499389648438,278.7799987792969,324.55999755859375,477.760009765625,176.83999633789062,277.7900085449219,321.8299865722656,476.19000244140625,174.33999633789062,278.7650146484375,324.2200012207031,476.75,176.2050018310547,1727727,2197331,1040166,17449279
2025-11-25 19:30:00+00:00,277.56500244140625,321.7001037597656,477.0885009765625,176.84170532226562,278.1449890136719,323.760009765625,477.3799133300781,176.97000122070312,277.49749755859375,320.92999267578125,475.3949890136719,173.6199951171875,278.0400085449219,323.0050048828125,476.3840026855469,174.77999877929688,1909795,2028088,1286865,23100143
2025-11-25 20:30:00+00:00,276.95001220703125,323.6499938964844,476.92999267578125,177.8000030517578,278.0,324.4700012207031,478.9700012207031,178.16000366210938,276.8599853515625,321.70599365234375,476.739990234375,176.7100067138672,277.55999755859375,321.7900085449219,477.1199951171875,176.84500122070312,2448205,1783916,7486043,15031963
2025-11-26 14:30:00+00:00,277.80999755859375,318.2799987792969,483.239990234375,179.5850067138672,279.0474853515625,324.9849853515625,487.9700012207031,182.91000366210938,276.6300048828125,317.20001220703125,481.2099914550781,178.24000549316406,276.9599914550781,320.7799987792969,486.04998779296875,181.6300048828125,5086107,7913875,4843496,45946959
2025-11-26 15:30:00+00:00,279.0101013183594,319.635009765625,486.7854919433594,180.91000366210938,279.1400146484375,320.45831298828125,487.0050048828125,181.11000061035156,276.80999755859375,317.510009765625,483.29998779296875,179.5850067138672,277.7900085449219,318.2900085449219,483.30999755859375,179.5850067138672,2510611,2653850,1859391,16924615
2025-11-26 16:30:00+00:00,279.0790100097656,319.0899963378906,486.7900085449219,180.77999877929688,279.5299987792969,320.20599365234375,488.3030090332031,181.72999572753906,278.8699951171875,318.489990234375,486.3299865722656,180.125,279.0299987792969,319.6600036621094,486.8399963378906,180.9199981689453,2586354,1991156,1474580,14050216
2025-11-26 17:30:00+00:00,278.54998779296875,319.6300048828125,486.83160400390625,180.80999755859375,279.2900085449219,319.7900085449219,487.82000732421875,181.5,278.0950012207031,318.2699890136719,485.6300048828125,180.38999938964844,279.07000732421875,319.0899963378906,486.8299865722656,180.78030395507812,1871279,1462437,1283809,11563205
2025-11-26 18:30:00+00:00,278.260009765625,319.1499938964844,486.82000732421875,180.5500030517578,278.581787109375,319.6700134277344,487.18499755859375,180.84500122070312,277.92498779296875,318.82000732421875,485.8500061035156,179.793701171875,278.55999755859375,319.6300048828125,486.8299865722656,180.80999755859375,1426945,1134959,1100010,10619635
2025-11-26 19:30:00+00:00,278.0799865722656,319.6520080566406,487.25,180.50999450683594,278.94000244140625,319.7850036621094,487.67999267578125,180.75999450683594,278.010009765625,318.70001220703125,485.5899963378906,179.92999267578125,278.2601013183594,319.1700134277344,486.9179992675781,180.5500030517578,1953254,1298734,1214849,10611517
2025-11-26 20:30:00+00:00,277.4700012207031,320.2799987792969,485.489990234375,180.19000244140625,278.29998779296875,320.79998779296875,487.6300048828125,180.75,277.1499938964844,319.5,485.0,179.875,278.07000732421875,319.6499938964844,487.239990234375,180.5050048828125,9116002,1926714,1838870,9278599
